filename,RMS_EHG_2_butter,log2_EHG_2_butter,perm_entropy_EHG_2_butter,svd_entropy_EHG_2_butter,spectral_entropy_EHG_2_butter,sample_entropy_EHG_2_butter,Hjorth_mobility_EHG_2_butter,hjorth_complexity_EHG_2_butter,Approximate entropy_EHG_2_butter,num_zero_cross_EHG_2_butter,petrosian_fd_EHG_2_butter,katz_fd_EHG_2_butter,higuchi_fd_EHG_2_butter,detrended_fluctuation_EHG_2_butter
tpehgt_n001.dat,0.019523302999751545,-5.678659037578688,0.841646731085217,0.38077420598035383,0.39821178770322785,0.4554089282064785,0.1380923775825705,6.441080138222078,0.5317878224973023,1698,1.0108578753522197,2.267251130735022,1.2860464452606926,0.8239588717480152
tpehgt_n002.dat,0.011613041170835763,-6.428110361624123,0.8783556064920761,0.44964154509631415,0.4103213634374086,0.5584762348176576,0.178375344594891,5.661958494544379,0.6674549294980605,2457,1.0124330533986785,2.415944303481397,1.4300933937817353,0.8497391055397766
tpehgt_n003.dat,0.03275103548965406,-4.932315668707162,0.7297560045780064,0.3354763785161051,0.42003524310725804,0.34528733517981475,0.12295795780641552,4.4568461428503205,0.4465124834030907,1330,1.0070056433705565,2.145779728790554,1.1638622423367844,0.7783905692786174
tpehgt_n004.dat,0.006109390697088385,-7.354755780579087,0.87672577198879,0.5666389823249335,0.42214659070452354,0.8033030086529083,0.26915697519820453,3.7606494435401276,0.911219005731374,3240,1.0123970917289045,2.9275035506659215,1.6164498887388177,0.8399159753494347
tpehgt_n005.dat,0.015155539216315638,-6.044011007341328,0.7612847281790365,0.32657891729540334,0.38282393986563107,0.37335325248413015,0.11603692346435059,5.936777812457334,0.44024868463882916,1395,1.0079808395293544,2.1447994789326104,1.1539614994755016,0.79625670609304
tpehgt_p001.dat,0.02490020207642912,-5.327698739309513,0.6503328936530384,0.3758660824142154,0.4261987399018647,0.393563853544396,0.14756457007313092,3.7687851341343173,0.46960187989463664,1448,1.0053585271477858,2.167698904836557,1.1199256664715258,0.6845713246200855
tpehgt_p002.dat,0.008936589432462588,-6.806059939569816,0.7284734290749301,0.4801503367828279,0.5201502505536165,0.4967080039060753,0.20680249135711695,3.9210594031376638,0.6409168264396037,2430,1.0092564862218762,2.521418547606835,1.3161305663026206,0.7335221538896475
tpehgt_p003.dat,0.007592346872074793,-7.0412383782895835,0.7131889512866432,0.4722933021853519,0.4583749234572264,0.42644289790550455,0.19546131581338075,4.790226677676978,0.5621148253626624,2187,1.0099362404897452,2.538842195644375,1.377844667932676,0.8016407797167571
tpehgt_p004.dat,0.008806686148808395,-6.827185032379176,0.7707831665206488,0.47372605972624365,0.4945140489513479,0.5832681009382951,0.19829794875673068,4.593126609074018,0.6629621398378522,2148,1.0101892908919736,2.557959791661019,1.2733227771536926,0.7012894299097676
tpehgt_p005.dat,0.009333587359041981,-6.743352597971038,0.7686324878518576,0.4804776600901424,0.5084352179073418,0.5608084936132373,0.20378621570252148,4.3370045143185605,0.6822077132852793,2526,1.0103195018832734,2.305615673473848,1.3229670776785007,0.7291798372194607
tpehgt_p006.dat,0.00846295912412036,-6.884622086181367,0.7217426729392858,0.4684443980379102,0.4860249703145334,0.4831889325164496,0.19806431241396288,4.399915217679447,0.5839623975419079,1948,1.0093463234277436,2.3248366113343013,1.2466601931974726,0.695758182825989
tpehgt_p007.dat,0.009164405217869372,-6.769743033692369,0.7237738400506942,0.41395320996892104,0.4535616182186512,0.4542312060195851,0.15786991125178437,5.69067316497824,0.5618892057096443,1712,1.0098563218563619,2.383906874118248,1.2365527165412074,0.7619422564685367
tpehgt_p008.dat,0.009156364962661452,-6.771009316380961,0.6785834422392819,0.39655874693697213,0.4258743453467267,0.3494515959496914,0.14797722757089446,6.1063233203324945,0.4736011713497912,1792,1.0095537100122844,2.263928513728804,1.2387248206518708,0.7986675156999609
tpehgt_p009.dat,0.00869199296137958,-6.846097278411056,0.6988619612242774,0.40917121957310276,0.44794433905901354,0.4013290844327265,0.1548897887532789,5.784983445584486,0.5160968259156671,1852,1.009645833344966,2.36708111083021,1.2632056892892365,0.7998457996223249
