filename,RMS_EHG_3_butter,log2_EHG_3_butter,perm_entropy_EHG_3_butter,svd_entropy_EHG_3_butter,spectral_entropy_EHG_3_butter,sample_entropy_EHG_3_butter,Hjorth_mobility_EHG_3_butter,hjorth_complexity_EHG_3_butter,Approximate entropy_EHG_3_butter,num_zero_cross_EHG_3_butter,petrosian_fd_EHG_3_butter,katz_fd_EHG_3_butter,higuchi_fd_EHG_3_butter,detrended_fluctuation_EHG_3_butter
tpehgt_n001.dat,0.014845497993986174,-6.073830700262631,0.8605911707186626,0.49996208724620966,0.40633080812509986,0.7271976247313182,0.21437727121841782,4.799033636487516,0.7889005441517614,2691,1.0117036925180845,2.462335735819424,1.557587380421771,0.8565905621309177
tpehgt_n002.dat,0.010046971991692077,-6.637095429743945,0.8875043284043546,0.6132373499487423,0.43854021891368805,0.9099830095021141,0.31212715093321985,3.4156469002766014,1.0177738573402308,4762,1.012909357379604,2.8456453801165744,1.7003781167120169,0.8179336146991976
tpehgt_n003.dat,0.023998807223717607,-5.380893486240525,0.8145971136259574,0.3966180731488689,0.4295998977147297,0.4639815746746492,0.15038680360757237,5.209711736808009,0.5583845753064955,1469,1.0098089109399526,2.2575866304564225,1.2824293579498978,0.7775915697790823
tpehgt_n004.dat,0.005902547161686328,-7.404446620946981,0.8734224117195516,0.574315686627765,0.4287161935952812,0.8416542004189375,0.2761842507461061,3.6711144225997607,0.9480949942657038,3348,1.0123339764644415,3.152124499197421,1.6251310098859941,0.8355039026784806
tpehgt_n005.dat,0.01645657537633205,-5.92519204852473,0.8928636416470181,0.4199310884561914,0.40913054112168074,0.4385229883050678,0.17563469612951463,5.993858457939179,0.49179329352939294,3578,1.0131444542139292,1.90432501969619,1.6068460800679016,0.9011243339743531
tpehgt_p001.dat,0.014820724366668819,-6.076240228321115,0.8322187469507378,0.5798017115894807,0.5617544207623191,0.7808619740979961,0.2855484625351522,3.313005907404028,0.8756812432912691,3585,1.011087213362543,2.058580586005699,1.45803408494752,0.6788570270226464
tpehgt_p002.dat,0.009137390288510181,-6.774002105749955,0.8712633319627342,0.5266583764953985,0.4647335840004294,0.7559703374228586,0.23224916010763225,4.6412580515042725,0.8347120370047048,3972,1.0133126393775558,2.7646888163633445,1.5092631551194193,0.7636095523476466
tpehgt_p003.dat,0.007716890321980896,-7.017764683394367,0.8474089770422877,0.5556541578714959,0.47355313861114817,0.7128844772564256,0.2568867612150983,4.164287598770262,0.7921179503803417,3470,1.0125118612178672,2.623945429540167,1.5517250941416407,0.7774772091577705
tpehgt_p004.dat,0.008947543175544172,-6.804292684411802,0.8221579713977968,0.5068362976289553,0.4686498173547122,0.6941003846648672,0.21873673028985113,4.664473018224761,0.7672181332646,2914,1.0116965416511714,2.9074703965952753,1.4401184133302183,0.7428064599756582
tpehgt_p005.dat,0.009022658359189143,-6.792231725174998,0.7901373586297521,0.5284531175676537,0.5649410850883365,0.6001808752320299,0.24295073772940726,3.6686857012917535,0.7331907058419791,2788,1.0107267168323602,2.389803762171648,1.3422390071881285,0.7035833580321885
